baseline	winning_ticket	fine_tuned_pruned_model
71.85	76.4907135875	78.681395
71.85	75.7086999022	69.5992179863
71.85	76.3929618768	75.0244379277
71.85	77.8592375367	71.8475073314
71.85	77.908113392	67.5464320626
71.85	76.1974584555	74.3401759531
71.85	77.5659824047	70.4789833822
71.85	78.1524926686	67.008797654
71.85	78.6901270772	71.6031280547
71.85	78.5434995112	64.7605083089
71.85	77.0772238514	70.8211143695
71.85	77.468230694	67.3998044966
71.85	77.7126099707	66.4711632454
71.85	79.1788856305	59.4819159335
71.85	78.5434995112	66.9110459433
71.85	78.3968719453	62.0486655464
71.85	77.761485826	57.48424326
71.85	76.5395894428	52.9123019101
71.85	74.5356793744	55.23424326
71.85	74.1446725318	63.5711484399
71.85	75.5131964809	62.954824
71.85	76.2952101662	57.954824
71.85	74.2913000978	68.5728250244
71.85	72.4340175953	64.1935484829
71.85	71.7986314761	66.862170088
71.85	69.550342131	48.1450107536
71.85	69.843597263	55.3708172053
71.85	66.1290322581	43.8287839697
71.85	67.7419354839	46.2365591398
71.85	62.5610948192	59.0909090909
71.85	60.752688172	40.0360175963
